@RELATION movie
@ATTRIBUTE duration NUMERIC
@ATTRIBUTE awardedDirector {0,1}
@ATTRIBUTE oscarDirector {0,1}
@ATTRIBUTE awardedActor {0,1}
@ATTRIBUTE oscarActor {0,1}
@ATTRIBUTE genre {Drama,Horror,Action,Comedy,Others}
@ATTRIBUTE certificate {R, PG_13, PG, NOT_RATED}
@ATTRIBUTE rating {Bad,Regular,Good}
@DATA
120,0,0,1,0,Drama,R,Regular
112,0,0,1,0,Horror,R,Good
146,0,0,1,0,Action,PG_13,Good
121,0,0,1,0,Action,R,Good
180,0,0,1,0,Drama,R,Good
102,0,0,1,0,Others,PG,Good
104,0,0,1,0,Comedy,R,Good
126,0,0,1,0,Action,R,Good
117,0,0,1,0,Drama,NOT_RATED,Good
161,0,0,1,0,Action,PG_13,Good
126,0,0,1,0,Drama,R,Good
100,0,0,1,0,Drama,R,Regular
104,0,0,1,0,Horror,R,Regular
100,0,0,1,0,Drama,R,Regular
138,0,0,1,0,Action,R,Good
153,0,0,1,0,Action,R,Good
134,0,0,1,0,Drama,R,Good
143,0,0,1,0,Action,PG_13,Good
112,0,0,1,0,Action,PG_13,Good
108,0,0,1,0,Drama,R,Regular
123,1,0,1,0,Action,R,Good
137,1,0,1,0,Drama,R,Regular
114,0,0,1,0,Action,PG,Good
143,0,0,1,0,Drama,PG_13,Good
116,0,0,1,0,Action,PG_13,Good
85,0,0,1,0,Horror,R,Regular
132,0,0,1,0,Action,PG_13,Good
117,0,0,1,0,Action,R,Regular
117,0,0,1,0,Drama,R,Good
103,0,0,1,0,Action,R,Regular
110,0,0,1,0,Comedy,R,Good
130,0,0,1,0,Action,PG_13,Good
130,0,0,1,0,Action,PG_13,Regular
107,0,0,1,0,Comedy,R,Regular
114,0,0,1,0,Comedy,R,Regular
123,0,0,1,0,Drama,R,Good
130,0,0,1,0,Action,PG_13,Good
90,0,0,1,0,Others,R,Regular
132,0,0,1,0,Action,PG_13,Good
98,0,0,1,0,Comedy,PG_13,Good
101,0,0,1,0,Comedy,PG_13,Regular
115,0,0,1,0,Action,PG_13,Good
123,0,0,1,0,Drama,NOT_RATED,Regular
85,0,0,1,0,Drama,R,Good
128,0,0,1,0,Drama,PG_13,Regular
121,0,0,1,0,Drama,R,Good
98,0,0,1,0,Comedy,R,Regular
106,0,0,1,0,Horror,PG_13,Regular
124,0,0,1,0,Action,PG_13,Good
90,0,0,1,0,Comedy,R,Regular
48,0,0,0,0,Horror,NOT_RATED,Bad
50,0,0,0,0,Action,NOT_RATED,Bad
90,0,0,0,0,Action,NOT_RATED,Bad
54,0,0,0,0,Comedy,NOT_RATED,Bad
92,0,0,1,0,Action,NOT_RATED,Bad
0,0,0,0,0,Others,NOT_RATED,Bad
87,0,0,0,0,Horror,NOT_RATED,Bad
70,0,0,0,0,Horror,NOT_RATED,Bad
54,0,0,1,0,Others,NOT_RATED,Bad
70,0,0,0,0,Horror,NOT_RATED,Bad
98,0,0,0,0,Drama,NOT_RATED,Bad
85,0,0,0,0,Action,NOT_RATED,Bad
150,0,0,1,0,Action,NOT_RATED,Bad
0,0,0,1,0,Horror,NOT_RATED,Bad
90,0,0,0,0,Action,NOT_RATED,Bad
105,0,0,0,0,Others,NOT_RATED,Bad
87,0,0,0,0,Drama,NOT_RATED,Bad
107,0,0,0,0,Action,NOT_RATED,Bad
80,0,0,0,0,Action,NOT_RATED,Bad
74,0,0,0,0,Action,NOT_RATED,Bad
120,0,0,1,0,Action,NOT_RATED,Bad
0,0,0,0,0,Horror,NOT_RATED,Bad
0,0,0,0,0,Drama,NOT_RATED,Bad
77,0,0,0,0,Horror,NOT_RATED,Bad
0,0,0,0,0,Comedy,NOT_RATED,Bad
0,0,0,1,0,Drama,NOT_RATED,Bad
104,0,0,0,0,Comedy,NOT_RATED,Bad
87,0,0,1,0,Action,NOT_RATED,Bad
86,0,0,0,0,Horror,NOT_RATED,Bad
81,0,0,1,0,Horror,R,Bad
83,0,0,0,0,Horror,NOT_RATED,Bad
82,0,0,0,0,Action,NOT_RATED,Bad
0,0,0,0,0,Horror,NOT_RATED,Bad
86,0,0,1,0,Action,NOT_RATED,Bad
92,0,0,0,0,Horror,NOT_RATED,Bad
82,0,0,0,0,Others,NOT_RATED,Bad
90,0,0,0,0,Comedy,NOT_RATED,Bad
135,0,0,1,0,Action,NOT_RATED,Bad
92,0,0,1,0,Comedy,R,Bad
0,0,0,0,0,Comedy,NOT_RATED,Bad
0,0,0,0,0,Drama,NOT_RATED,Bad
87,0,0,1,0,Action,NOT_RATED,Bad
132,0,0,1,0,Comedy,NOT_RATED,Bad
89,0,0,0,0,Horror,NOT_RATED,Bad
88,0,0,1,0,Horror,NOT_RATED,Bad
94,0,0,1,0,Horror,NOT_RATED,Bad
115,0,0,1,0,Drama,NOT_RATED,Bad
0,0,0,0,0,Comedy,R,Bad
83,0,0,1,0,Action,R,Bad
85,0,0,1,0,Drama,NOT_RATED,Bad
95,0,0,1,0,Comedy,R,Good
89,0,0,0,0,Action,NOT_RATED,Good
179,0,0,1,0,Drama,NOT_RATED,Good
100,0,0,1,0,Horror,PG_13,Regular
97,0,0,1,0,Drama,PG_13,Regular
91,1,0,1,0,Action,PG_13,Good
