@RELATION movie
@ATTRIBUTE duration {Short,Regular,Long,Very_Long}
@ATTRIBUTE awardedDirector {0,1}
@ATTRIBUTE oscarDirector {0,1}
@ATTRIBUTE awardedActor {0,1}
@ATTRIBUTE oscarActor {0,1}
@ATTRIBUTE genre {Drama,Horror,Action,Comedy,Others}
@ATTRIBUTE certificate {G, R, PG_13, PG, NOT_RATED}
@ATTRIBUTE rating {Bad,Regular,Good}
@DATA
Long,1,0,1,0,Action,R,Good
Regular,1,0,1,0,Action,PG_13,Regular
Long,1,0,1,0,Action,PG_13,Good
Very_Long,1,0,1,0,Action,PG_13,Good
Regular,1,0,0,0,Action,R,Good
Very_Long,1,0,1,0,Action,R,Good
Regular,1,0,1,0,Comedy,NOT_RATED,Good
Regular,1,0,1,0,Comedy,NOT_RATED,Good
Regular,1,0,1,0,Action,PG_13,Regular
Regular,0,0,1,0,Horror,R,Regular
Regular,1,0,1,0,Drama,R,Good
Regular,0,0,1,0,Comedy,PG_13,Regular
Regular,1,0,1,0,Comedy,PG_13,Good
Regular,1,0,1,0,Horror,R,Bad
Regular,1,0,1,0,Comedy,R,Regular
Long,1,0,1,0,Action,PG_13,Good
Regular,1,0,1,0,Others,PG,Good
Long,1,0,1,0,Action,PG,Good
Long,1,0,1,0,Drama,R,Good
Short,1,0,1,0,Drama,PG_13,Regular
Regular,1,0,1,0,Others,NOT_RATED,Good
Regular,1,0,1,0,Action,PG,Regular
Regular,1,0,1,0,Comedy,R,Regular
Very_Long,1,0,1,0,Comedy,PG_13,Good
Long,1,0,1,0,Drama,PG_13,Good
Short,1,0,1,0,Others,PG,Good
Regular,1,0,1,0,Action,R,Regular
Regular,1,0,1,0,Drama,NOT_RATED,Regular
Regular,1,0,1,0,Action,R,Good
Long,0,0,1,0,Others,R,Good
Long,1,0,1,0,Drama,PG_13,Regular
Regular,1,0,1,0,Drama,R,Good
Regular,1,0,1,0,Action,R,Good
Regular,1,0,1,0,Horror,PG_13,Regular
Regular,1,0,1,0,Horror,R,Regular
Long,1,0,1,0,Drama,R,Good
Regular,1,0,1,0,Drama,R,Good
Long,1,0,1,0,Drama,R,Good
Regular,1,0,1,0,Drama,G,Good
Long,1,0,1,0,Action,PG_13,Regular
Long,1,0,1,0,Action,PG_13,Regular
Regular,1,0,1,1,Horror,PG_13,Regular
Long,1,0,1,0,Comedy,PG_13,Regular
Regular,1,0,1,0,Comedy,R,Regular
Regular,1,0,1,0,Action,R,Regular
Regular,1,0,1,0,Action,PG_13,Regular
Long,1,0,1,0,Action,PG_13,Regular
Regular,0,0,1,0,Horror,R,Regular
Regular,1,0,1,0,Comedy,PG_13,Regular
Long,1,0,1,0,Action,R,Good
Regular,1,0,1,0,Horror,R,Regular
Regular,1,0,1,0,Horror,NOT_RATED,Bad
Regular,1,0,1,0,Action,PG_13,Regular
Long,1,0,1,0,Action,PG_13,Bad
Regular,0,0,1,0,Action,R,Regular
Regular,1,0,1,0,Others,PG,Good
Long,1,1,1,0,Others,PG_13,Regular
Short,1,0,1,0,Action,PG,Bad
Regular,1,0,1,0,Others,G,Good
